Year,Carrier,Complaints,Enplaned Passengers,Departures
2023,American,9717,130838000.0,933000
2023,Delta,8813,135813000.0,970000
2023,United,7022,102463000.0,722000
2023,Southwest,7091,164917000.0,1400000
2023,Alaska Airlines,1042,32817000.0,250000
2023,JetBlue,2128,32474000.0,273000
2023,Spirit,3427,38556000.0,258000
2023,Frontier,859,27613000.0,171000
2023,SkyWest,37,36619000.0,671000
2023,Hawaiian,181,10055000.0,80000
2023,Allegiant Air,478,17323000.0,115000
2022,American,10254,120019000.0,847000
2022,Delta,7148,121124000.0,874000
2022,United,4709,85815000.0,608000
2022,Southwest,6428,153098000.0,1264000
2022,Alaska Airlines,1042,29338000.0,227000
2022,JetBlue,2265,30039000.0,261000
2022,Spirit,2421,33441000.0,223000
2022,Frontier,502,23204000.0,151000
2022,SkyWest,65,39649000.0,742000
2022,Hawaiian,242,9499000.0,73000
2022,Allegiant Air,532,120019000.0,847000
2021,American,11413,93282000.0,689000
2021,Delta,5327,86719000.0,728000
2021,United,3361,54805000.0,420000
2021,Southwest,6408,114680000.0,1011000
2021,Alaska Airlines,371,20189000.0,188000
2021,JetBlue,1693,21481000.0,191000
2021,Spirit,1980,26686000.0,182000
2021,Frontier,196,18639000.0,130000
2021,SkyWest,42,33454000.0,739000
2021,Hawaiian,175,5936000.0,57000
2021,Allegiant Air,533,12961000.0,110000
2020,American,4182,63471000.0,578000
2020,Delta,1856,56022000.0,586000
2020,United,1820,34677000.0,312000
2020,Southwest,2167,76612000.0,978000
2020,Alaska Airlines,304,13426000.0,150000
2020,JetBlue,740,13084000.0,151000
2020,Spirit,1120,17847000.0,137000
2020,Frontier,114,12030000.0,91000
2020,SkyWest,36,21648000.0,595000
2020,Hawaiian,124,3684000.0,43000
2020,Allegiant Air,494,9279000.0,87000
2019,American,9152,124835000.0,925000
2019,Delta,7582,134913000.0,986000
2019,United,5721,87158000.0,623000
2019,Southwest,4868,157882000.0,1332000
2019,Alaska Airlines,751,33348000.0,268000
2019,JetBlue,1851,33693000.0,295000
2019,Spirit,2325,30307000.0,200000
2019,Frontier,244,21434000.0,131000
2019,SkyWest,127,40562000.0,822000
2019,Hawaiian,396,10201000.0,84000
2019,Allegiant Air,793,14684000.0,103000
